# algorithm	order	size	timeNs
QuicksortImproved(threshold: 96, partitioning: QuicksortVariant1(pivot: MIDDLE))	ascending	2097152	11587458
QuicksortImproved(threshold: 96, partitioning: QuicksortVariant1(pivot: MIDDLE))	ascending	4194304	24161875
QuicksortImproved(threshold: 96, partitioning: QuicksortVariant1(pivot: MIDDLE))	ascending	8388608	52406542
QuicksortImproved(threshold: 96, partitioning: QuicksortVariant1(pivot: MIDDLE))	ascending	16777216	108603125
QuicksortImproved(threshold: 96, partitioning: QuicksortVariant1(pivot: MIDDLE))	ascending	33554432	230057208
QuicksortImproved(threshold: 96, partitioning: QuicksortVariant1(pivot: MIDDLE))	ascending	67108864	502645917
QuicksortImproved(threshold: 96, partitioning: QuicksortVariant1(pivot: MIDDLE))	ascending	134217728	1013238667
QuicksortImproved(threshold: 96, partitioning: QuicksortVariant1(pivot: MIDDLE))	ascending	268435456	2070081583
QuicksortImproved(threshold: 96, partitioning: QuicksortVariant1(pivot: MIDDLE))	descending	1024	7083
QuicksortImproved(threshold: 96, partitioning: QuicksortVariant1(pivot: MIDDLE))	descending	2048	12041
QuicksortImproved(threshold: 96, partitioning: QuicksortVariant1(pivot: MIDDLE))	descending	4096	20625
QuicksortImproved(threshold: 96, partitioning: QuicksortVariant1(pivot: MIDDLE))	descending	8192	33583
QuicksortImproved(threshold: 96, partitioning: QuicksortVariant1(pivot: MIDDLE))	descending	16384	74500
QuicksortImproved(threshold: 96, partitioning: QuicksortVariant1(pivot: MIDDLE))	descending	32768	152167
QuicksortImproved(threshold: 96, partitioning: QuicksortVariant1(pivot: MIDDLE))	descending	65536	302917
QuicksortImproved(threshold: 96, partitioning: QuicksortVariant1(pivot: MIDDLE))	descending	131072	618417
QuicksortImproved(threshold: 96, partitioning: QuicksortVariant1(pivot: MIDDLE))	descending	262144	1306833
QuicksortImproved(threshold: 96, partitioning: QuicksortVariant1(pivot: MIDDLE))	descending	524288	2921667
QuicksortImproved(threshold: 96, partitioning: QuicksortVariant1(pivot: MIDDLE))	descending	1048576	6048958
QuicksortImproved(threshold: 96, partitioning: QuicksortVariant1(pivot: MIDDLE))	descending	2097152	12554583
QuicksortImproved(threshold: 96, partitioning: QuicksortVariant1(pivot: MIDDLE))	descending	4194304	27013959
QuicksortImproved(threshold: 96, partitioning: QuicksortVariant1(pivot: MIDDLE))	descending	8388608	56391042
QuicksortImproved(threshold: 96, partitioning: QuicksortVariant1(pivot: MIDDLE))	descending	16777216	119633250
QuicksortImproved(threshold: 96, partitioning: QuicksortVariant1(pivot: MIDDLE))	descending	33554432	247533708
QuicksortImproved(threshold: 96, partitioning: QuicksortVariant1(pivot: MIDDLE))	descending	67108864	510208917
QuicksortImproved(threshold: 96, partitioning: QuicksortVariant1(pivot: MIDDLE))	descending	134217728	1067646500
